--- Front number 0 has 12 solutions ---

Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing
 1.1949685534591195 , 2.830188679245283 , 2.251572327044025 , 1.0 , 4.707070707070707 , 0.1717171717171717 , 1.534332334332334 , 0.5252525252525253 , 3.2508026695401595 , 0.10538720538720539 , 0.06060606060606061
 1.08 , 2.8666666666666667 , 2.2733333333333334 , 1.0 , 6.4 , 0.34285714285714286 , 1.9585884353741498 , 0.4857142857142857 , 4.011887099014389 , 0.10438775510204082 , 0.07142857142857142
 1.1656050955414012 , 2.949044585987261 , 2.3121019108280256 , 1.0 , 6.75 , 0.5625 , 1.5232142857142856 , 0.53125 , 4.298134285167616 , 0.1046875 , 0.078125
 1.0420168067226891 , 2.53781512605042 , 2.092436974789916 , 1.0 , 3.7903225806451615 , 0.10483870967741936 , 1.9491167434715824 , 0.43548387096774194 , 2.065587943814621 , 0.11693548387096774 , 0.056451612903225805
 1.0072463768115942 , 2.8405797101449277 , 2.3115942028985508 , 1.0 , 5.580246913580247 , 0.25925925925925924 , 1.3164527965294248 , 0.5061728395061729 , 3.685934225011498 , 0.11625514403292181 , 0.07407407407407407
 1.2857142857142858 , 3.087912087912088 , 2.4285714285714284 , 1.0 , 8.150943396226415 , 0.6981132075471698 , 1.6137124975776473 , 0.5283018867924528 , 5.682325613968633 , 0.1341719077568134 , 0.05660377358490566
 0.9754098360655737 , 2.5245901639344264 , 2.139344262295082 , 1.0 , 3.8442622950819674 , 0.11475409836065574 , 1.879976580796253 , 0.4262295081967213 , 2.108620637226037 , 0.11885245901639344 , 0.05737704918032787
 1.040983606557377 , 2.581967213114754 , 2.139344262295082 , 1.0 , 4.207207207207207 , 0.14414414414414414 , 1.4601359601359603 , 0.4594594594594595 , 2.7632489275388554 , 0.15990990990990991 , 0.06306306306306306
 1.1595092024539877 , 2.803680981595092 , 2.263803680981595 , 1.0 , 4.9361702127659575 , 0.18085106382978725 , 1.7793956043956045 , 0.5106382978723404 , 3.328519745636863 , 0.1581560283687943 , 0.06382978723404255
 1.1560693641618498 , 2.791907514450867 , 2.23121387283237 , 1.0 , 5.076923076923077 , 0.18681318681318682 , 1.3853359095117337 , 0.5384615384615384 , 3.2797525145621207 , 0.19615384615384612 , 0.06593406593406594
 1.0144927536231885 , 2.818840579710145 , 2.282608695652174 , 1.0 , 5.352941176470588 , 0.23529411764705882 , 1.7020791075050707 , 0.5411764705882353 , 3.5151931146173494 , 0.13431372549019607 , 0.07058823529411765
 1.2208588957055215 , 2.914110429447853 , 2.2699386503067487 , 1.0 , 5.364705882352941 , 0.2235294117647059 , 1.4283613445378152 , 0.5529411764705883 , 3.770852387868351 , 0.146078431372549 , 0.07058823529411765
 1.2222222222222223 , 2.876543209876543 , 2.234567901234568 , 1.0 , 5.352941176470588 , 0.2235294117647059 , 1.3393557422969187 , 0.5529411764705883 , 3.7973158735002888 , 0.12254901960784313 , 0.07058823529411765
 1.1699346405228759 , 2.888888888888889 , 2.2483660130718954 , 1.0 , 6.447761194029851 , 0.5223880597014925 , 1.7196339729921821 , 0.5373134328358209 , 4.1516917696256534 , 0.135181236673774 , 0.07462686567164178
 1.0583941605839415 , 2.897810218978102 , 2.3284671532846715 , 1.0 , 5.6625 , 0.2625 , 1.3885632183908045 , 0.5 , 3.6980793851999043 , 0.15520833333333334 , 0.075
 1.0656934306569343 , 2.897810218978102 , 2.3284671532846715 , 1.0 , 5.7215189873417724 , 0.27848101265822783 , 1.3742834279062999 , 0.4936708860759494 , 3.706227817452513 , 0.14451476793248946 , 0.0759493670886076
 1.1635220125786163 , 2.943396226415094 , 2.308176100628931 , 1.0 , 6.6461538461538465 , 0.5538461538461539 , 1.6534432234432235 , 0.5384615384615384 , 4.272114410741072 , 0.11846153846153847 , 0.07692307692307693
 1.1029411764705883 , 2.8970588235294117 , 2.3088235294117645 , 1.0 , 5.857142857142857 , 0.2857142857142857 , 1.4477857391650493 , 0.5064935064935064 , 3.8144327849563817 , 0.1586580086580087 , 0.07792207792207792

--- Front number 3 has 4 solutions ---

Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing

 1.0866666666666667 , 2.8666666666666667 , 2.28 , 1.0 , 6.492753623188406 , 0.36231884057971014 , 2.0068150448585227 , 0.5217391304347826 , 4.021839357291236 , 0.10590062111801242 , 0.07246376811594203
 1.2152777777777777 , 2.9444444444444446 , 2.361111111111111 , 1.0 , 4.386792452830188 , 0.1509433962264151 , 2.274989633008501 , 0.5 , 3.1447270431788885 , 0.13522012578616352 , 0.05660377358490566
 1.1847133757961783 , 2.968152866242038 , 2.3184713375796178 , 1.0 , 6.765625 , 0.5625 , 1.4643601190476192 , 0.53125 , 4.305513952691989 , 0.1203125 , 0.078125
 1.441025641025641 , 3.3384615384615386 , 2.5641025641025643 , 1.0 , 12.685714285714285 , 1.2 , 1.9064036381329612 , 0.6571428571428571 , 8.39217322441401 , 0.20714285714285716 , 0.05714285714285714

